"COVID-19-Associated Hospitalization Rates (per 100,000 population) for the COVID-NET Network (downloaded on "Apr-12-2020)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Entire Network,COVID-NET,2020,2020,37,0-4 yr,null,null
Entire Network,COVID-NET,2020,2020,38,0-4 yr,null,null
Entire Network,COVID-NET,2020,2020,39,0-4 yr,null,null
Entire Network,COVID-NET,2020,2020,10,5-17 yr,0,0
Entire Network,COVID-NET,2020,2020,11,5-17 yr,0,0
Entire Network,COVID-NET,2020,2020,12,5-17 yr,0.1,0.1
Entire Network,COVID-NET,2020,2020,13,5-17 yr,0.1,0
Entire Network,COVID-NET,2020,2020,14,5-17 yr,0.2,0
Entire Network,COVID-NET,2020,2020,15,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,16,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,17,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,18,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,19,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,20,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,21,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,22,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,23,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,24,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,25,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,26,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,27,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,28,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,29,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,30,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,31,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,32,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,33,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,34,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,35,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,36,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,37,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,38,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,39,5-17 yr,null,null
Entire Network,COVID-NET,2020,2020,10,18-49 yr,0,0
Entire Network,COVID-NET,2020,2020,11,18-49 yr,0.3,0.3
Entire Network,COVID-NET,2020,2020,12,18-49 yr,1.4,1
Entire Network,COVID-NET,2020,2020,13,18-49 yr,3.9,2.6
Entire Network,COVID-NET,2020,2020,14,18-49 yr,6.3,2.3
Entire Network,COVID-NET,2020,2020,15,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,16,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,17,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,18,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,19,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,20,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,21,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,22,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,23,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,24,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,25,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,26,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,27,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,28,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,29,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,30,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,31,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,32,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,33,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,34,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,35,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,36,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,37,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,38,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,39,18-49 yr,null,null
Entire Network,COVID-NET,2020,2020,10,50-64 yr,0.1,0.1
Entire Network,COVID-NET,2020,2020,11,50-64 yr,1,1
Entire Network,COVID-NET,2020,2020,12,50-64 yr,4.2,3.2
Entire Network,COVID-NET,2020,2020,13,50-64 yr,11.9,7.7
Entire Network,COVID-NET,2020,2020,14,50-64 yr,20.7,8.7
Entire Network,COVID-NET,2020,2020,15,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,16,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,17,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,18,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,19,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,20,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,21,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,22,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,23,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,24,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,25,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,26,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,27,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,28,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,29,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,30,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,31,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,32,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,33,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,34,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,35,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,36,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,37,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,38,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,39,50-64 yr,null,null
Entire Network,COVID-NET,2020,2020,10,65+ yr,0.4,0.4
Entire Network,COVID-NET,2020,2020,11,65+ yr,1.8,1.5
Entire Network,COVID-NET,2020,2020,12,65+ yr,7.9,6.1
Entire Network,COVID-NET,2020,2020,13,65+ yr,21.9,14
Entire Network,COVID-NET,2020,2020,14,65+ yr,38.7,16.7
Entire Network,COVID-NET,2020,2020,15,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,16,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,17,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,18,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,19,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,20,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,21,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,22,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,23,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,24,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,25,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,26,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,27,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,28,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,29,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,30,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,31,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,32,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,33,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,34,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,35,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,36,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,37,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,38,65+ yr,null,null
Entire Network,COVID-NET,2020,2020,39,65+ yr,null,null

Disclaimer:
The Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)
data are preliminary and subject to change as more data become available. COVID-NET conducts
population-based surveillance for laboratory-confirmed COVID-19-associated hospitalizations in
children (less than 18 years of age) and adults. COVID-NET covers nearly 100 counties in the 10
"Emerging Infections Program (EIP) states (CA, CO, CT, GA, MD, MN, NM, NY, OR, TN) and four"
"Influenza Hospitalization Surveillance Project (IHSP) states (IA, MI, OH, and UT). Cumulative and"
"weekly unadjusted incidence rates (per 100,000 population) are calculated using the National Center"
for Health Statistics' (NCHS) vintage 2018 bridged-race postcensal population estimates for the
counties included in the surveillance catchment area. The rates provided are likely to be
underestimated as COVID-19-associated hospitalizations might be missed due to test availability and
provider or facility testing practices.
