model,forecast_date,target,target_end_date,location_name,point,quantile_0.025,quantile_0.975
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Massachusetts,225,93,405
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Michigan,178,81,342
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Minnesota,175,67,386
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Mississippi,76,44,123
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Missouri,55,20,123
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Montana,2,0,9
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,National,6972,5488,8649
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Nebraska,57,15,137
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Nevada,62,3,235
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,New Hampshire,31,5,80
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,New Jersey,233,129,407
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,New Mexico,31,9,81
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,New York,400,181,828
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,North Carolina,273,128,571
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,North Dakota,13,1,31
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Northern Mariana Islands,0,0,0
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Ohio,284,139,494
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Oklahoma,28,5,93
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Oregon,36,6,146
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Pennsylvania,215,106,402
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Puerto Rico,8,0,61
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Rhode Island,4,0,19
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,South Carolina,90,37,180
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,South Dakota,19,4,43
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Tennessee,92,32,186
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Texas,362,148,890
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Utah,54,7,172
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Vermont,1,0,7
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Virgin Islands,0,0,1
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Virginia,149,90,228
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Washington,52,16,113
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,West Virginia,9,1,27
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Wisconsin,107,35,260
JHU,2020-06-15,1 day ahead inc hosp,2020-06-15,Wyoming,2,0,7
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Alabama,82,41,131
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Alaska,2,1,6
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Arizona,197,109,284
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Arkansas,49,25,78
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,California,442,250,632
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Colorado,27,10,54
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Connecticut,39,15,77
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Delaware,6,2,13
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,District of Columbia,8,3,15
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Florida,415,232,595
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Georgia,153,73,253
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Hawaii,1,0,3
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Idaho,3,1,6
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Illinois,83,36,152
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Indiana,49,19,92
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Iowa,45,19,81
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Kansas,8,3,16
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Kentucky,41,16,78
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Louisiana,114,55,183
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Maine,4,1,8
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Maryland,92,37,167
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Massachusetts,33,13,65
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Michigan,19,7,40
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Minnesota,44,18,83
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Mississippi,43,18,81
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Missouri,29,12,55
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Montana,1,0,3
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Nebraska,22,8,41
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Nevada,33,14,58
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,New Hampshire,4,1,9
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,New Jersey,52,21,104
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,New Mexico,18,7,36
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,New York,168,69,335
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,North Carolina,190,96,280
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,North Dakota,2,1,5
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Ohio,68,30,131
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Oklahoma,27,11,49
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Oregon,14,5,29
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Pennsylvania,65,28,119
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Puerto Rico,17,7,32
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Rhode Island,6,2,13
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,South Carolina,90,48,139
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,South Dakota,6,3,13
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Tennessee,36,15,63
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Texas,269,144,397
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Utah,26,11,46
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Vermont,1,0,3
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Virgin Islands,0,0,0
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Virginia,79,32,143
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Washington,41,16,76
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,West Virginia,3,1,6
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Wisconsin,38,16,73
LANL,2020-06-15,1 day ahead inc hosp,2020-06-15,Wyoming,1,0,3
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Alabama,25,22,28
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Alaska,1,0,1
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Arizona,132,118,151
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Arkansas,22,19,26
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,California,336,317,354
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Colorado,11,8,13
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Connecticut,0,0,0
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Delaware,3,2,4
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,District of Columbia,8,6,10
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Florida,113,96,130
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Georgia,51,44,61
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Hawaii,0,0,0
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Idaho,1,0,1
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Illinois,76,65,85
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Indiana,43,37,52
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Iowa,8,6,11
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Kansas,2,1,4
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Kentucky,23,18,29
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Louisiana,9,5,15
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Maine,2,1,2
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Maryland,62,52,74
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Massachusetts,20,13,30
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Michigan,33,14,56
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Minnesota,21,18,24
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Mississippi,39,34,44
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Missouri,29,24,34
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Montana,0,0,0
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,National,1650,1410,1918
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Nebraska,4,3,5
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Nevada,18,11,25
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,New Hampshire,4,3,5
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,New Jersey,21,14,28
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,New Mexico,7,5,10
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,New York,10,6,15
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,North Carolina,69,60,79
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,North Dakota,1,1,2
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Ohio,35,28,42
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Oklahoma,8,6,11
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Oregon,9,7,10
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Pennsylvania,35,30,40
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Rhode Island,2,0,7
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,South Carolina,45,40,52
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,South Dakota,4,3,5
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Tennessee,22,19,25
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Texas,180,165,196
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Utah,16,14,19
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Vermont,0,0,0
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Virginia,54,44,63
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Washington,13,11,15
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,West Virginia,2,1,2
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Wisconsin,20,17,22
ERDC,2020-06-15,0 day ahead inc hosp,2020-06-15,Wyoming,0,0,1
Covid19Sim,2020-06-15,2 day ahead inc hosp,2020-06-16,Alabama,133,71,154
Covid19Sim,2020-06-15,2 day ahead inc hosp,2020-06-16,Alaska,2,1,2
Covid19Sim,2020-06-15,2 day ahead inc hosp,2020-06-16,Arizona,262,101,370
Covid19Sim,2020-06-15,2 day ahead inc hosp,2020-06-16,Arkansas,32,28,56
Covid19Sim,2020-06-15,2 day ahead inc hosp,2020-06-16,California,712,548,769
Covid19Sim,2020-06-15,2 day ahead inc hosp,2020-06-16,Colorado,35,26,39
Covid19Sim,2020-06-15,2 day ahead inc hosp,2020-06-16,Connecticut,33,23,42
Covid19Sim,2020-06-15,2 day ahead inc hosp,2020-06-16,Delaware,11,4,17
Covid19Sim,2020-06-15,2 day ahead inc hosp,2020-06-16,District of Columbia,33,12,56
