model,forecast_date,target,location_name,point,quantile_0.025,quantile_0.975
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Colorado,78,59,96
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Connecticut,108,84,133
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Delaware,29,18,40
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,District of Columbia,40,26,53
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Florida,95,75,116
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Georgia,113,92,134
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Hawaii,0,0,2
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Idaho,1,0,5
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Illinois,279,244,314
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Indiana,156,131,181
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Iowa,62,48,77
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Kansas,7,0,17
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Kentucky,52,39,66
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Louisiana,90,68,112
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Maine,5,0,9
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Maryland,187,160,214
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Massachusetts,263,226,300
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Michigan,208,177,239
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Minnesota,101,85,118
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Mississippi,81,64,98
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Missouri,76,58,94
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Montana,1,0,4
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Nebraska,33,23,43
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Nevada,37,25,49
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,New Hampshire,14,7,22
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,New Jersey,307,265,349
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,New Mexico,38,27,50
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,New York,461,407,515
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,North Carolina,84,67,101
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,North Dakota,11,5,17
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Ohio,136,113,159
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Oklahoma,24,13,34
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Oregon,18,9,27
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Pennsylvania,198,167,229
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Rhode Island,34,21,46
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,South Carolina,48,35,62
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,South Dakota,12,5,19
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Tennessee,21,4,38
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Texas,183,157,210
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Utah,20,11,29
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Vermont,3,0,7
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Virginia,186,160,212
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Washington,37,24,51
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,West Virginia,6,1,11
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Wisconsin,80,63,96
CovidActNow-SEIR_CAN,2020-06-01,1 day ahead inc hosp,Wyoming,2,0,4
CU-select,2020-06-01,1 day ahead inc hosp,Alabama,54,43,70
CU-select,2020-06-01,1 day ahead inc hosp,Alaska,0,0,1
CU-select,2020-06-01,1 day ahead inc hosp,Arizona,62,49,78
CU-select,2020-06-01,1 day ahead inc hosp,Arkansas,19,11,29
CU-select,2020-06-01,1 day ahead inc hosp,California,376,336,406
CU-select,2020-06-01,1 day ahead inc hosp,Colorado,61,49,81
CU-select,2020-06-01,1 day ahead inc hosp,Connecticut,89,70,103
CU-select,2020-06-01,1 day ahead inc hosp,Delaware,19,11,27
CU-select,2020-06-01,1 day ahead inc hosp,Florida,135,114,154
CU-select,2020-06-01,1 day ahead inc hosp,Georgia,119,97,140
CU-select,2020-06-01,1 day ahead inc hosp,Hawaii,0,0,0
CU-select,2020-06-01,1 day ahead inc hosp,Idaho,1,0,4
CU-select,2020-06-01,1 day ahead inc hosp,Illinois,264,233,288
CU-select,2020-06-01,1 day ahead inc hosp,Indiana,69,52,83
CU-select,2020-06-01,1 day ahead inc hosp,Iowa,44,33,57
CU-select,2020-06-01,1 day ahead inc hosp,Kansas,8,4,13
CU-select,2020-06-01,1 day ahead inc hosp,Kentucky,38,25,46
CU-select,2020-06-01,1 day ahead inc hosp,Louisiana,50,37,64
CU-select,2020-06-01,1 day ahead inc hosp,Maine,6,3,11
CU-select,2020-06-01,1 day ahead inc hosp,Maryland,174,147,201
CU-select,2020-06-01,1 day ahead inc hosp,Massachusetts,71,55,85
CU-select,2020-06-01,1 day ahead inc hosp,Michigan,43,30,54
CU-select,2020-06-01,1 day ahead inc hosp,Minnesota,92,75,107
CU-select,2020-06-01,1 day ahead inc hosp,Mississippi,45,35,61
CU-select,2020-06-01,1 day ahead inc hosp,Missouri,20,13,29
CU-select,2020-06-01,1 day ahead inc hosp,Montana,0,0,1
CU-select,2020-06-01,1 day ahead inc hosp,National,3333,3235,3445
CU-select,2020-06-01,1 day ahead inc hosp,Nebraska,37,26,49
CU-select,2020-06-01,1 day ahead inc hosp,Nevada,18,11,25
CU-select,2020-06-01,1 day ahead inc hosp,New Hampshire,7,2,11
CU-select,2020-06-01,1 day ahead inc hosp,New Jersey,142,119,160
CU-select,2020-06-01,1 day ahead inc hosp,New Mexico,18,11,26
CU-select,2020-06-01,1 day ahead inc hosp,New York,322,289,352
CU-select,2020-06-01,1 day ahead inc hosp,North Carolina,106,90,125
CU-select,2020-06-01,1 day ahead inc hosp,North Dakota,3,0,6
CU-select,2020-06-01,1 day ahead inc hosp,Ohio,93,77,115
CU-select,2020-06-01,1 day ahead inc hosp,Oklahoma,11,5,16
CU-select,2020-06-01,1 day ahead inc hosp,Oregon,7,3,12
CU-select,2020-06-01,1 day ahead inc hosp,Pennsylvania,99,85,116
CU-select,2020-06-01,1 day ahead inc hosp,Rhode Island,16,9,25
CU-select,2020-06-01,1 day ahead inc hosp,South Carolina,41,27,50
CU-select,2020-06-01,1 day ahead inc hosp,South Dakota,4,1,8
CU-select,2020-06-01,1 day ahead inc hosp,Tennessee,31,22,40
CU-select,2020-06-01,1 day ahead inc hosp,Texas,162,141,187
CU-select,2020-06-01,1 day ahead inc hosp,Utah,11,5,18
CU-select,2020-06-01,1 day ahead inc hosp,Vermont,0,0,1
CU-select,2020-06-01,1 day ahead inc hosp,Virginia,206,180,227
CU-select,2020-06-01,1 day ahead inc hosp,Washington,35,25,46
CU-select,2020-06-01,1 day ahead inc hosp,West Virginia,4,1,9
CU-select,2020-06-01,1 day ahead inc hosp,Wisconsin,81,66,99
CU-select,2020-06-01,1 day ahead inc hosp,Wyoming,0,0,2
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Alabama,25,10,46
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Alaska,0,0,0
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Arizona,68,23,141
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Arkansas,11,3,32
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,California,404,245,703
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Colorado,89,42,218
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Connecticut,81,34,142
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Delaware,10,3,22
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,District of Columbia,17,8,32
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Florida,124,70,223
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Georgia,128,62,246
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Hawaii,0,0,0
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Idaho,2,0,6
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Illinois,282,133,476
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Indiana,107,54,194
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Iowa,80,34,175
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Kansas,3,0,6
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Kentucky,19,4,41
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Louisiana,52,25,83
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Maine,4,0,18
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Maryland,165,78,286
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Massachusetts,117,69,201
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Michigan,97,52,167
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Minnesota,87,46,181
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Mississippi,47,25,88
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Missouri,47,16,92
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Montana,0,0,0
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,National,3546,1926,5946
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Nebraska,22,5,58
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Nevada,28,8,58
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,New Hampshire,28,4,68
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,New Jersey,298,145,451
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,New Mexico,25,10,56
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,New York,197,136,312
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,North Carolina,75,40,149
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,North Dakota,6,0,19
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Ohio,167,94,273
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Oklahoma,9,3,18
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Oregon,4,0,11
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Pennsylvania,240,115,447
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Rhode Island,54,26,103
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,South Carolina,19,7,44
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,South Dakota,3,0,10
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Tennessee,17,3,62
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Texas,82,35,145
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Utah,15,4,34
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Vermont,0,0,0
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Virginia,140,80,257
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Washington,14,6,26
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,West Virginia,4,0,8
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Wisconsin,31,16,76
IHME-CurveFit,2020-06-01,3 day ahead inc hosp,Wyoming,3,0,8
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Alabama,31,28,35
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Alaska,0,0,1
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Arizona,91,77,105
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Arkansas,10,8,12
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,California,354,310,386
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Colorado,25,20,30
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Connecticut,54,31,80
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Delaware,7,5,10
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,District of Columbia,16,10,19
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Florida,72,63,83
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Georgia,58,48,70
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Hawaii,0,0,0
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Idaho,1,0,2
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Illinois,164,147,185
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Indiana,49,42,58
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Iowa,17,13,21
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Kansas,4,3,6
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Kentucky,36,27,46
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Louisiana,0,0,1
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Maine,4,3,5
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Maryland,99,85,120
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Massachusetts,47,36,58
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Michigan,15,10,20
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Minnesota,42,36,47
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Mississippi,40,35,45
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Missouri,35,30,41
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Montana,0,0,0
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,National,2004,1675,2364
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Nebraska,19,14,27
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Nevada,18,11,26
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,New Hampshire,6,5,8
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,New Jersey,34,27,43
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,New Mexico,13,9,18
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,New York,57,43,81
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,North Carolina,58,51,66
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,North Dakota,2,1,3
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Ohio,51,44,60
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Oklahoma,8,6,12
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Oregon,9,8,11
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Pennsylvania,59,48,65
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Rhode Island,6,1,13
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,South Carolina,23,19,28
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,South Dakota,6,4,9
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Tennessee,15,13,18
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Texas,129,115,147
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Utah,9,7,10
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Vermont,0,0,0
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Virginia,132,112,151
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Washington,17,15,19
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,West Virginia,1,1,1
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Wisconsin,58,53,64
USACE-ERDC_SEIR,2020-06-01,0 day ahead inc hosp,Wyoming,1,0,2
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Alabama,65,60,117
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Alaska,2,1,2
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Arizona,135,116,316
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Arkansas,18,17,20
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,California,748,711,1507
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Colorado,69,61,119
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Connecticut,73,46,160
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Delaware,29,28,57
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,District of Columbia,46,42,99
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Florida,75,72,180
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Georgia,128,117,279
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Hawaii,0,0,0
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Idaho,4,4,5
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Illinois,479,426,827
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Indiana,137,111,277
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Iowa,53,49,123
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Kansas,13,12,15
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Kentucky,72,63,138
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Louisiana,120,104,264
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Maine,11,10,49
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Maryland,180,149,313
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Massachusetts,227,178,491
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Michigan,103,78,241
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Minnesota,68,37,122
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Mississippi,80,68,300
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Missouri,108,97,307
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Montana,0,0,1
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,National,5200,4478,10657
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Nebraska,29,26,32
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Nevada,59,55,112
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,New Hampshire,16,13,82
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,New Jersey,279,221,567
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,New Mexico,33,31,104
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,New York,430,332,842
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,North Carolina,114,106,286
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,North Dakota,7,5,12
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Ohio,112,85,305
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Oklahoma,27,23,54
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Oregon,16,14,20
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Pennsylvania,167,126,421
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Puerto Rico,20,17,30
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Rhode Island,28,22,115
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,South Carolina,83,71,252
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,South Dakota,14,12,17
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Tennessee,44,41,45
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Texas,272,259,310
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Utah,24,21,26
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Vermont,3,2,5
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Virginia,208,186,399
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Washington,49,45,89
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,West Virginia,5,2,5
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Wisconsin,115,105,196
COVID19SimCons-COVID19Sim,2020-06-01,2 day ahead inc hosp,Wyoming,2,1,2
CovidActNow-SEIR_CAN,2020-06-01,2 day ahead inc hosp,Alabama,26,0,63
CovidActNow-SEIR_CAN,2020-06-01,2 day ahead inc hosp,Alaska,2,0,7
CovidActNow-SEIR_CAN,2020-06-01,2 day ahead inc hosp,Arizona,121,92,149
CovidActNow-SEIR_CAN,2020-06-01,2 day ahead inc hosp,Arkansas,13,3,22
CovidActNow-SEIR_CAN,2020-06-01,2 day ahead inc hosp,California,519,456,581
CovidActNow-SEIR_CAN,2020-06-01,2 day ahead inc hosp,Colorado,76,50,103
CovidActNow-SEIR_CAN,2020-06-01,2 day ahead inc hosp,Connecticut,105,70,139
