hosp_id,hosp_name,date,active_confirmed,active_suspected,admitted,admitted_confirmed,admitted_suspected,alos_ventilator,bed_avail_criticalcare,bed_avail_intensivecare,bed_avail_other,bed_avail_surgical,bed_inuse_criticalcare,bed_inuse_intensivecare,bed_inuse_other,bed_inuse_surgical,discharged_alive,discharged_dead,ventilators_inuse
3100690,Inspira Medical Center Elmer,2020-04-04,2,6,0,,,0.0,0,3,0,74,0,1,0,9,,,0
310069A,Inspira Medical Center Mullica Hill,2020-04-04,14,18,0,,,1.0,0,11,0,98,0,9,0,34,,,4
3100324,Inspira Medical Center Vineland,2020-04-04,13,54,4,,,2.5,0,9,0,97,0,24,0,48,,,6
3100810,Inspira Medical Center Woodbury,2020-04-04,,,0,,,,,,,,,,,,,,
3100862,Jefferson Cherry Hill Hospital,2020-04-04,19,7,0,,,4.6,0,3,22,26,0,2,0,21,,,2
KHS,Jefferson Health New Jersey - Central Supply,2020-04-04,,,0,,,,,,,,,,,,,,
3100863,Jefferson Stratford Hospital,2020-04-04,5,9,0,,,2.8,0,4,9,40,0,3,4,7,,,2
3100861,Jefferson Washington Township Hospital,2020-04-04,22,15,0,,,4.46,0,7,33,25,0,10,2,25,,,6
3100740,Jersey City Medical Center,2020-04-04,76,20,0,,,,7,11,29,88,23,,,73,,,18
3100750,Monmouth Medical Center,2020-04-04,16,20,1,,,,0,6,90,70,8,,,28,,,5
3100840,Monmouth Medical Center Southern Campus,2020-04-04,31,20,9,,,,0,0,0,13,8,,,43,,,6
3100150,Morristown Medical Center,2020-04-04,231,59,15,,,5.0,15,5,0,138,38,45,0,193,,,72
3100020,Newark Beth Israel Medical Center,2020-04-04,155,45,0,,,,0,0,1,2,,,,,,,16
3100280,Newton Medical Center,2020-04-04,25,6,0,,,5.0,0,0,0,17,8,11,0,12,,,19
3100510,Overlook Medical Center,2020-04-04,190,89,37,,,5.0,0,0,0,33,39,41,0,181,,,73
4PPEPMPH,Penn Medicine Princeton Health - Central Supply,2020-04-04,,,0,,,,,,,,,,,,,,
3100100,Penn Medicine Princeton Medical Center,2020-04-04,60,3,0,,,,2,,46,39,22,,0,39,,,22
3101100,RWJ University Hospital Hamilton,2020-04-04,155,26,148,,,,0,6,1,59,5,,,24,,,
3100240,RWJ University Hospital Rahway,2020-04-04,52,7,0,,,,1,0,0,7,11,,,47,,,7
3100480,RWJ University Hospital Somerset,2020-04-04,91,33,9,,,7.0,0,2,3,29,22,,,91,,,18
RWJB,RWJBarnabas Health - Central Supply,2020-04-04,,,0,,,,,,,,,,,,,,
3100380,Robert Wood Johnson University Hospital,2020-04-04,154,0,20,,,,,15,28,52,,55,,103,,,7
3100760,Saint Barnabas Medical Center,2020-04-04,187,64,0,,,13.0,20,0,35,15,50,,,194,,,73
STC,Saint Clare's Health - Central Supply,2020-04-04,,,0,,,,,,,,,,,,,,
3100500,Saint Clare's Hospital Denville,2020-04-04,32,4,4,,,8.9,0,,23,125,,30,,43,,,30
3100502,Saint Clare's Hospital Dover,2020-04-04,46,1,7,,,,,,,,,,,,,,
3100960,Saint Michael's Medical Center,2020-04-04,63,21,5,,,10.0,,8,,108,,23,,61,,,36
3100700,Saint Peter's University Hospital,2020-04-04,64,43,4,,,,,9,40,7,,22,7,76,,,20
3100910,Salem Medical Center,2020-04-04,1,10,0,,,5.0,,4,,7,,3,,7,,,0
3100470,Shore Medical Center,2020-04-04,8,13,0,,,5.0,6,7,20,93,5,6,0,10,,,1
3100210,St. Francis Medical Center,2020-04-04,6,14,5,,,7.0,,4,18,48,,5,,15,,,3
SJH,St. Joseph's Health - Central Supply,2020-04-04,,,0,,,,,,,,,,,,,,
3100190,St. Joseph's University Medical Center,2020-04-04,190,86,12,,,,0,1,16,36,0,54,3,121,,,82
3100191,St. Joseph's Wayne Medical Center,2020-04-04,50,38,0,,,,0,1,12,8,0,16,0,45,,,22
3100600,St. Luke's Warren Campus,2020-04-04,14,10,5,,,,,2,,48,,10,,11,,,9
3100060,St. Mary's General Hospital,2020-04-04,71,13,11,,,10.0,1,0,3,13,9,16,6,33,,,14
3100120,The Valley Hospital,2020-04-04,204,10,7,,,10.0,3,1,,54,31,13,,204,,,32
3100270,Trinitas Regional Medical Center,2020-04-04,73,67,4,,,24.5,,4,,0,,34,,106,,,19
3101190,University Hospital,2020-04-04,131,45,4,,,10.0,,,,40,46,,,103,,,26
4PPEVHS,Valley Health System - Central Supply,2020-04-04,,,0,,,,,,,,,,,,,,
VHS,Virtua Health System - Central Supply,2020-04-04,,,0,,,,,,,,,,,,,,
3100224,Virtua Marlton,2020-04-04,11,20,0,,,5.3,6,2,,83,6,16,,9,,,14
3100570,Virtua Memorial,2020-04-04,25,28,0,,,6.1,12,9,,118,8,18,,27,,,14
3100290,Virtua Our Lady of Lourdes Hospital,2020-04-04,7,25,0,,,3.5,10,23,,69,7,9,,16,,,8
3100221,Virtua Voorhees,2020-04-04,18,28,5,,,6.4,6,6,,124,9,11,,26,,,10
3100610,Virtua Willingboro Hospital,2020-04-04,8,5,0,,,2.0,,13,,27,,4,,9,,,2
ATL,AtlantiCare - Central Supply,2020-04-05,,,0,,,,,,,,,,,,,,
3100642,AtlantiCare Regional Medical Center City Division,2020-04-05,14,11,0,,,5.0,11,0,20,68,5,0,0,20,,,6
3100641,AtlantiCare Regional Medical Center Mainland Division,2020-04-05,18,11,2,,,6.0,8,0,0,108,7,0,0,22,,,7
FMSAtlanic,Atlantic City FMS,2020-04-05,,,0,,,,,,,,,,,,,,
AHS,Atlantic Health System - Central Supply,2020-04-05,,,0,,,,,,,,,,,,,,
3100580,Bergen New Bridge Medical Center,2020-04-05,28,6,1,,,0.0,0,7,0,60,0,6,0,28,,,9
3100110,Cape Regional Health System,2020-04-05,12,15,1,,,4.8,0,3,0,13,0,6,0,21,,,5
CHS,Capital Health - Central Supply,2020-04-05,,,0,,,,,,,,,,,,,,
3100440,Capital Health Medical Center - Hopewell,2020-04-05,25,12,2,,,8.2,,24,62,124,,16,,21,,,11
3100920,Capital Health Regional Medical Center,2020-04-05,21,17,0,,,,,40,25,104,,18,,20,,,12
3100250,CarePoint Health Bayonne Medical Center,2020-04-05,35,29,0,,,5.0,0,1,0,0,0,14,0,0,,,11
3100160,CarePoint Health Christ Hospital,2020-04-05,92,34,20,,,4.0,6,0,0,0,0,24,0,0,,,22
3100400,CarePoint Health Hoboken University Medical Center,2020-04-05,65,32,7,,,3.0,6,0,0,0,0,15,0,25,,,14
4PPECPH,CarePoint Heatlh - Central Supply,2020-04-05,,,0,,,,,,,,,,,,,,
4PPECSHS,CentraState Healthcare System - Central Supply,2020-04-05,,,0,,,,,,,,,,,,,,
3101110,CentraState Medical Center,2020-04-05,94,8,7,,,7.8,0,0,7,53,14,7,0,81,,,22
3100170,Chilton Medical Center - Atlantic Health System,2020-04-05,63,43,13,,,4.0,0,0,0,65,0,11,10,85,,,24
3100090,Clara Maass Medical Center,2020-04-05,152,13,0,,,,0,0,13,0,21,,,144,,,21
3100410,Community Medical Center,2020-04-05,72,20,0,,,,,4,39,19,18,,,74,,,11
4PPECHS,"Cooper Health System, The - Central Supply",2020-04-05,,,0,,,,,,,,,,,,,,
3100140,Cooper University Health Care,2020-04-05,33,17,3,,,8.36,0,11,0,284,0,16,0,34,,,16
3100310,Deborah Heart and Lung Center,2020-04-05,1,5,0,,,6.0,4,5,4,34,2,0,0,4,,,1
ACS-EO,East Orange ACS,2020-04-05,,,0,,,,,,,,,,,,,,
3100830,East Orange General Hospital,2020-04-05,29,26,0,,,7.3,0,0,0,0,0,16,0,40,,,19
FMSEdison,Edison FMS,2020-04-05,,,0,,,,,,,,,,,,,,
3100450,Englewood Hospital,2020-04-05,140,65,8,,,5.2,,7,,12,,40,25,140,,,40
HMH,Hackensack Meridian Health - Central Supply,2020-04-05,,,0,,,,,,,,,,,,,,
3101120,Hackensack Meridian Health Bayshore Medical Center,2020-04-05,50,20,7,,,10.42,1,0,5,18,12,0,0,67,,,12
3100010,Hackensack Meridian Health Hackensack University Medical Center,2020-04-05,415,39,39,,,14.1,37,0,27,4,129,0,11,327,,,92
3101080,Hackensack Meridian Health JFK Medical Center,2020-04-05,121,79,20,,,8.31,2,0,36,15,40,0,2,162,,,39
3100730,Hackensack Meridian Health Jersey Shore University Medical Center,2020-04-05,154,28,4,,,11.34,13,0,89,15,55,0,4,131,,,50
3100540,Hackensack Meridian Health Mountainside Medical Center,2020-04-05,100,51,12,,,,,0,,40,,34,,122,,,33
3100522,Hackensack Meridian Health Ocean Medical Center,2020-04-05,89,12,0,,,11.03,6,,,3,32,0,0,79,,,29
3100030,Hackensack Meridian Health Palisades Medical Center,2020-04-05,91,39,6,,,11.04,1,0,14,6,34,0,23,75,,,25
3101300,Hackensack Meridian Health Pascack Valley Medical Center,2020-04-05,35,2,0,,,,0,0,0,0,,,,,,,13
3100392,Hackensack Meridian Health Raritan Bay Medical Center Old Bridge,2020-04-05,53,20,10,,,8.63,0,0,0,0,20,0,0,73,,,16
3100391,Hackensack Meridian Health Raritan Bay Medical Center Perth Amboy,2020-04-05,54,24,3,,,13.25,1,0,13,10,9,0,0,43,,,12
3100340,Hackensack Meridian Health Riverview Medical Center,2020-04-05,41,13,6,,,14.0,3,0,10,4,9,0,0,43,,,6
3101130,Hackensack Meridian Health Southern Ocean Medical Center,2020-04-05,22,10,0,,,11.77,2,0,13,15,11,0,0,16,,,13
3101150,Hackettstown Medical Center,2020-04-05,20,8,3,,,13.0,4,3,0,41,4,9,0,15,,,12
3100080,Holy Name Medical Center,2020-04-05,100,79,0,,,,,,,,,,,,,,
3101189,Hudson Regional Hospital,2020-04-05,,,0,,,,,,,,,,,,,,
ACS-Hunterd,Hunterdon ACS,2020-04-05,,,0,,,,,,,,,,,,,,
4PPEHHS,Hunterdon Healthcare System - Central Supply,2020-04-05,,,0,,,,,,,,,,,,,,
3100050,Hunterdon Medical Center,2020-04-05,28,21,0,,,6.3,0,0,29,53,8,10,1,30,,,17
IMC,Inspira Health - Central Supply,2020-04-05,,,0,,,,,,,,,,,,,,
3100690,Inspira Medical Center Elmer,2020-04-05,2,5,0,,,,0,3,0,74,,,,,,,
310069A,Inspira Medical Center Mullica Hill,2020-04-05,14,26,8,,,,0,9,0,93,,,,,,,
3100324,Inspira Medical Center Vineland,2020-04-05,15,44,0,,,,0,11,0,104,,,,,,,
3100810,Inspira Medical Center Woodbury,2020-04-05,,,0,,,,,,,,,,,,,,
3100862,Jefferson Cherry Hill Hospital,2020-04-05,23,10,7,,,4.8,0,3,20,11,0,6,0,27,,,2
KHS,Jefferson Health New Jersey - Central Supply,2020-04-05,,,0,,,,,,,,,,,,,,
3100863,Jefferson Stratford Hospital,2020-04-05,3,8,0,,,3.0,0,6,9,35,0,2,0,9,,,2
3100861,Jefferson Washington Township Hospital,2020-04-05,23,12,0,,,4.23,0,11,32,42,0,9,4,22,,,8
3100740,Jersey City Medical Center,2020-04-05,88,23,15,,,,2,8,25,40,26,,,85,,,17
3100750,Monmouth Medical Center,2020-04-05,18,16,0,,,,0,7,94,56,6,,,28,,,4
3100840,Monmouth Medical Center Southern Campus,2020-04-05,40,12,1,,,,0,0,0,16,10,,,42,,,7
3100150,Morristown Medical Center,2020-04-05,209,89,8,,,5.0,15,5,0,138,38,45,22,183,,,78
3100020,Newark Beth Israel Medical Center,2020-04-05,205,37,42,,,,0,0,0,0,,,,,,,35
3100280,Newton Medical Center,2020-04-05,36,10,15,,,5.0,0,0,0,17,9,12,0,26,,,19
3100510,Overlook Medical Center,2020-04-05,192,86,0,,,5.0,0,0,0,33,40,49,11,168,,,69
4PPEPMPH,Penn Medicine Princeton Health - Central Supply,2020-04-05,,,0,,,,,,,,,,,,,,
3100100,Penn Medicine Princeton Medical Center,2020-04-05,63,2,2,,,,3,,44,46,22,,0,43,,,22
3101100,RWJ University Hospital Hamilton,2020-04-05,40,6,0,,,,0,4,1,69,2,,,44,,,1
3100240,RWJ University Hospital Rahway,2020-04-05,47,13,1,,,,1,0,0,9,12,,,48,,,5
3100480,RWJ University Hospital Somerset,2020-04-05,97,27,0,,,7.0,0,0,2,29,27,,,97,,,20
RWJB,RWJBarnabas Health - Central Supply,2020-04-05,,,0,,,,,,,,,,,,,,
3100380,Robert Wood Johnson University Hospital,2020-04-05,,,0,,,,0,17,52,140,,55,,120,,,
3100760,Saint Barnabas Medical Center,2020-04-05,201,65,15,,,,20,0,44,12,54,,,212,,,45
STC,Saint Clare's Health - Central Supply,2020-04-05,,,0,,,,,,,,,,,,,,
3100500,Saint Clare's Hospital Denville,2020-04-05,40,5,9,,,9.1,1,,10,145,,26,,46,,,39
3100502,Saint Clare's Hospital Dover,2020-04-05,46,1,0,,,,,,,,,,,,,,
3100960,Saint Michael's Medical Center,2020-04-05,64,19,0,,,10.0,,8,,99,,24,,59,,,29
3100700,Saint Peter's University Hospital,2020-04-05,65,51,9,,,,,3,40,8,,18,4,94,,,18
3100910,Salem Medical Center,2020-04-05,1,12,2,,,5.0,,3,,11,,3,,9,,,0
3100470,Shore Medical Center,2020-04-05,10,11,0,,,5.0,7,10,25,130,5,5,0,11,,,2
3100210,St. Francis Medical Center,2020-04-05,10,14,4,,,,,4,14,50,,4,,20,,,3
SJH,St. Joseph's Health - Central Supply,2020-04-05,,,0,,,,,,,,,,,,,,
3100190,St. Joseph's University Medical Center,2020-04-05,202,95,21,,,,0,0,10,20,0,64,2,142,,,83
3100191,St. Joseph's Wayne Medical Center,2020-04-05,47,43,2,,,,0,3,2,1,0,21,0,56,,,22
3100600,St. Luke's Warren Campus,2020-04-05,15,3,0,,,,,2,,47,,10,,9,,,9
3100060,St. Mary's General Hospital,2020-04-05,69,13,0,,,15.0,0,0,3,13,9,16,6,23,,,18
3100120,The Valley Hospital,2020-04-05,215,11,12,,,9.0,4,1,,50,30,13,2,190,,,29
3100270,Trinitas Regional Medical Center,2020-04-05,78,70,8,,,25.0,,4,,0,,29,,119,,,23
3101190,University Hospital,2020-04-05,134,48,6,,,10.0,,,,,45,,,103,,,30
4PPEVHS,Valley Health System - Central Supply,2020-04-05,,,0,,,,,,,,,,,,,,
VHS,Virtua Health System - Central Supply,2020-04-05,,,0,,,,,,,,,,,,,,
3100224,Virtua Marlton,2020-04-05,17,14,0,,,5.58,11,2,,87,5,16,,10,,,14
3100570,Virtua Memorial,2020-04-05,31,23,1,,,6.14,12,8,,117,6,19,,28,,,14
3100290,Virtua Our Lady of Lourdes Hospital,2020-04-05,10,24,2,,,4.0,10,10,,71,6,8,,20,,,6
3100221,Virtua Voorhees,2020-04-05,22,23,0,,,6.63,4,6,,131,12,11,,22,,,11
3100610,Virtua Willingboro Hospital,2020-04-05,12,8,7,,,3.0,,13,,27,,4,,16,,,2
ATL,AtlantiCare - Central Supply,2020-04-06,,,0,,,,,,,,,,,,,,
3100642,AtlantiCare Regional Medical Center City Division,2020-04-06,13,12,0,,,6.0,10,0,20,59,6,0,0,19,,,6
3100641,AtlantiCare Regional Medical Center Mainland Division,2020-04-06,19,23,13,,,6.0,8,0,0,105,8,0,0,34,,,7
FMSAtlanic,Atlantic City FMS,2020-04-06,,,0,,,,,,,,,,,,,,
AHS,Atlantic Health System - Central Supply,2020-04-06,,,0,,,,,,,,,,,,,,
3100580,Bergen New Bridge Medical Center,2020-04-06,31,5,2,,,4.5,0,6,0,60,0,8,0,28,,,7
3100110,Cape Regional Health System,2020-04-06,11,16,0,,,5.8,0,2,0,14,0,6,0,21,,,6
CHS,Capital Health - Central Supply,2020-04-06,,,0,,,,,,,,,,,,,,
3100440,Capital Health Medical Center - Hopewell,2020-04-06,28,24,15,,,8.1,,24,62,124,,,,,,,8
3100920,Capital Health Regional Medical Center,2020-04-06,21,26,9,,,,,40,25,104,,21,,26,,,12
3100250,CarePoint Health Bayonne Medical Center,2020-04-06,37,27,0,,,6.0,0,0,3,2,0,0,0,0,,,17
3100160,CarePoint Health Christ Hospital,2020-04-06,104,13,0,,,4.0,6,0,0,0,,18,,6,,,20
3100400,CarePoint Health Hoboken University Medical Center,2020-04-06,51,43,0,,,4.0,7,2,0,0,0,13,0,22,,,20
4PPECPH,CarePoint Heatlh - Central Supply,2020-04-06,,,0,,,,,,,,,,,,,,
4PPECSHS,CentraState Healthcare System - Central Supply,2020-04-06,,,0,,,,,,,,,,,,,,
3101110,CentraState Medical Center,2020-04-06,103,0,1,,,7.9,2,0,7,44,13,9,0,81,,,24
3100170,Chilton Medical Center - Atlantic Health System,2020-04-06,72,58,24,,,4.0,0,0,0,65,0,16,30,84,,,30
3100090,Clara Maass Medical Center,2020-04-06,163,4,2,,,,0,0,17,0,25,,,142,,,24
3100410,Community Medical Center,2020-04-06,89,24,21,,,,,9,27,14,24,,,89,,,25
4PPECHS,"Cooper Health System, The - Central Supply",2020-04-06,,,0,,,,,,,,,,,,,,
3100140,Cooper University Health Care,2020-04-06,43,12,5,,,8.43,0,14,0,215,0,16,0,39,,,14
3100310,Deborah Heart and Lung Center,2020-04-06,1,5,0,,,7.0,3,5,4,33,2,0,0,4,,,1
ACS-EO,East Orange ACS,2020-04-06,,,0,,,,,,,,,,,,,,
3100830,East Orange General Hospital,2020-04-06,25,25,0,,,8.5,0,0,0,0,0,13,0,36,,,18
FMSEdison,Edison FMS,2020-04-06,,,0,,,,,,,,,,,,,,
3100450,Englewood Hospital,2020-04-06,148,67,10,,,6.1,,2,,5,,37,22,154,,,40
HMH,Hackensack Meridian Health - Central Supply,2020-04-06,,,0,,,,,,,,,,,,,,
3101120,Hackensack Meridian Health Bayshore Medical Center,2020-04-06,59,26,15,,,5.19,3,0,13,39,12,0,0,73,,,11
3100010,Hackensack Meridian Health Hackensack University Medical Center,2020-04-06,391,88,25,,,7.61,26,0,50,57,122,0,24,331,,,100
3101080,Hackensack Meridian Health JFK Medical Center,2020-04-06,148,82,30,,,5.49,7,0,36,49,41,0,3,193,,,41
3100730,Hackensack Meridian Health Jersey Shore University Medical Center,2020-04-06,152,52,22,,,8.51,0,0,7,0,56,0,3,132,,,53
3100540,Hackensack Meridian Health Mountainside Medical Center,2020-04-06,100,49,0,,,,,0,,50,,35,,126,,,33
3100522,Hackensack Meridian Health Ocean Medical Center,2020-04-06,89,34,22,,,7.18,2,0,13,9,31,0,0,90,,,30
3100030,Hackensack Meridian Health Palisades Medical Center,2020-04-06,87,34,0,,,5.92,0,0,0,0,42,0,6,91,,,26
3101300,Hackensack Meridian Health Pascack Valley Medical Center,2020-04-06,49,6,18,,,0.0,0,9,0,29,0,0,0,0,,,12
3100392,Hackensack Meridian Health Raritan Bay Medical Center Old Bridge,2020-04-06,63,21,11,,,4.82,0,0,0,0,14,0,0,60,,,17
3100391,Hackensack Meridian Health Raritan Bay Medical Center Perth Amboy,2020-04-06,66,36,24,,,4.4,0,0,0,0,20,0,0,82,,,14
3100340,Hackensack Meridian Health Riverview Medical Center,2020-04-06,37,18,1,,,6.71,1,0,8,6,9,0,0,45,,,8
3101130,Hackensack Meridian Health Southern Ocean Medical Center,2020-04-06,23,7,0,,,8.55,8,0,0,12,10,0,0,26,,,15
3101150,Hackettstown Medical Center,2020-04-06,25,6,3,,,13.0,4,3,0,41,4,13,0,14,,,14
3100080,Holy Name Medical Center,2020-04-06,96,92,9,,,,,,,,,,,,,,
3101189,Hudson Regional Hospital,2020-04-06,35,37,0,,,,,0,,22,,14,12,36,,,23
ACS-Hunterd,Hunterdon ACS,2020-04-06,,,0,,,,,,,,,,,,,,
4PPEHHS,Hunterdon Healthcare System - Central Supply,2020-04-06,,,0,,,,,,,,,,,,,,
3100050,Hunterdon Medical Center,2020-04-06,28,21,0,,,7.2,8,0,32,44,0,19,1,29,,,17
IMC,Inspira Health - Central Supply,2020-04-06,,,0,,,,,,,,,,,,,,
3100690,Inspira Medical Center Elmer,2020-04-06,1,6,0,,,0.0,0,3,0,73,0,0,0,7,,,0
310069A,Inspira Medical Center Mullica Hill,2020-04-06,15,29,4,,,3.0,0,10,0,87,0,10,0,42,,,6
3100324,Inspira Medical Center Vineland,2020-04-06,15,49,5,,,0.0,0,15,0,97,0,27,0,54,,,9
3100810,Inspira Medical Center Woodbury,2020-04-06,,,0,,,,,,,,,,,,,,
3100862,Jefferson Cherry Hill Hospital,2020-04-06,26,9,2,,,4.9,0,2,18,13,0,7,2,25,,,4
KHS,Jefferson Health New Jersey - Central Supply,2020-04-06,,,0,,,,,,,,,,,,,,
3100863,Jefferson Stratford Hospital,2020-04-06,4,3,0,,,2.4,0,9,13,44,0,4,0,3,,,4
3100861,Jefferson Washington Township Hospital,2020-04-06,24,13,2,,,5.07,0,13,30,46,0,9,1,27,,,8
3100740,Jersey City Medical Center,2020-04-06,83,41,13,,,,0,11,29,63,29,,,95,,,37
3100750,Monmouth Medical Center,2020-04-06,28,21,15,,,,0,4,61,9,14,,,35,,,11
3100840,Monmouth Medical Center Southern Campus,2020-04-06,32,14,0,,,,0,0,0,9,8,,,38,,,6
3100150,Morristown Medical Center,2020-04-06,239,82,23,,,5.0,15,5,0,138,42,49,32,198,,,83
3100020,Newark Beth Israel Medical Center,2020-04-06,175,37,0,,,,0,0,0,0,,,,,,,36
3100280,Newton Medical Center,2020-04-06,36,9,0,,,5.0,0,0,0,17,8,12,0,25,,,17
3100510,Overlook Medical Center,2020-04-06,206,64,0,,,5.0,0,0,0,33,40,49,14,167,,,66
4PPEPMPH,Penn Medicine Princeton Health - Central Supply,2020-04-06,,,0,,,,,,,,,,,,,,
3100100,Penn Medicine Princeton Medical Center,2020-04-06,68,1,4,,,,4,,32,47,23,,0,46,,,21
3101100,RWJ University Hospital Hamilton,2020-04-06,25,19,0,,,,0,4,1,50,9,,,35,,,6
3100240,RWJ University Hospital Rahway,2020-04-06,45,9,0,,,,0,0,1,9,11,,,43,,,8
3100480,RWJ University Hospital Somerset,2020-04-06,132,0,8,,,,0,0,0,36,32,,,99,,,33
RWJB,RWJBarnabas Health - Central Supply,2020-04-06,,,0,,,,,,,,,,,,,,
3100380,Robert Wood Johnson University Hospital,2020-04-06,182,0,0,,,,0,13,25,66,,53,,156,,,62
3100760,Saint Barnabas Medical Center,2020-04-06,235,67,36,,,,16,1,57,5,64,,,238,,,54
STC,Saint Clare's Health - Central Supply,2020-04-06,,,0,,,,,,,,,,,,,,
3100500,Saint Clare's Hospital Denville,2020-04-06,44,1,0,,,10.1,2,,10,136,,28,,52,,,38
3100502,Saint Clare's Hospital Dover,2020-04-06,47,3,3,,,,,,,,,,,,,,
