area,area_title,area_type,naics,naics_title,i_group,own_code,occ_code,occ_title,o_group,tot_emp,emp_prse,jobs_1000,loc_quotient,pct_total,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly,title,category,county_code,div_code,county_name,population
11180,"Ames, IA",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,810,5.6,17.971,0.89,,29.44,61230,2.3,23.39,25.94,28.92,33.09,37.29,48650,53950,60160,68820,77560,,,"Ames, IA",Metropolitan,['19169'],[None],"['      Story County, IA']",[97117]
11260,"Anchorage, AK",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,4270,16.6,24.457,1.2,,42.72,88860,1.8,27.52,33.77,43.17,53.16,58.84,57240,70250,89800,110570,122390,,,"Anchorage, AK",Metropolitan,"['02020', '02170']","[None, None]","['      Anchorage Municipality, AK', '      Matanuska-Susitna Borough, AK']",[]
11460,"Ann Arbor, MI",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,9340,17.6,41.682,2.05,,38.14,79340,4.4,27.85,31.98,37.04,44.17,51.12,57940,66510,77050,91860,106340,,,"Ann Arbor, MI",Metropolitan,['26161'],[None],"['      Washtenaw County, MI']",[367601]
11500,"Anniston-Oxford-Jacksonville, AL",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,920,7.3,21.021,1.04,,28.88,60070,2.1,20.76,24.07,28.57,33.87,38.12,43180,50070,59420,70440,79300,,,"Anniston-Oxford-Jacksonville, AL",Metropolitan,['01015'],[None],"['      Calhoun County, AL']",[113605]
11540,"Appleton, WI",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,1920,24.7,15.636,0.77,,32.94,68520,1.5,26.24,28.73,32.8,36.96,39.72,54580,59760,68220,76870,82610,,,"Appleton, WI",Metropolitan,"['55015', '55087']","[None, None]","['      Calumet County, WI', '      Outagamie County, WI']","[50089, 187885]"
11640,"Arecibo, PR",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,930,3.8,32.582,1.6,,14.9,30990,2.2,9.81,12.61,14.44,17.25,19.26,20400,26240,30040,35870,40070,,,"Arecibo, PR",Metropolitan,,,,
11700,"Asheville, NC",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,6210,3.3,31.288,1.54,,32.28,67150,2.6,23.34,26.91,31.3,37.57,44.2,48550,55980,65110,78150,91940,,,"Asheville, NC",Metropolitan,"['37021', '37087', '37089', '37115']","[None, None, None, None]","['      Buncombe County, NC', '      Haywood County, NC', '      Henderson County, NC', '      Madison County, NC']","[261191, 62317, 117417, 21755]"
12020,"Athens-Clarke County, GA",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,1680,3.9,19.062,0.94,,32.97,68590,2.6,24.98,27.84,32.63,37.92,44.45,51960,57910,67880,78870,92460,,,"Athens-Clarke County, GA",Metropolitan,"['13059', '13195', '13219', '13221']","[None, None, None, None]","['      Clarke County, GA', '      Madison County, GA', '      Oconee County, GA', '      Oglethorpe County, GA']","[128331, 29880, 40280, 15259]"
12060,"Atlanta-Sandy Springs-Roswell, GA",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,40830,3.2,14.882,0.73,,35.39,73610,1,25.48,29.11,35.1,41.63,47.75,53010,60550,73010,86600,99310,,,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan,"['13013', '13015', '13035', '13045', '13057', '13063', '13067', '13077', '13085', '13089', '13097', '13113', '13117', '13121', '13135', '13143', '13149', '13151', '13159', '13171', '13199', '13217', '13223', '13227', '13231', '13247', '13255', '13297']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","['      Barrow County, GA', '      Bartow County, GA', '      Butts County, GA', '      Carroll County, GA', '      Cherokee County, GA', '      Clayton County, GA', '      Cobb County, GA', '      Coweta County, GA', '      Dawson County, GA', '      DeKalb County, GA', '      Douglas County, GA', '      Fayette County, GA', '      Forsyth County, GA', '      Fulton County, GA', '      Gwinnett County, GA', '      Haralson County, GA', '      Heard County, GA', '      Henry County, GA', '      Jasper County, GA', '      Lamar County, GA', '      Meriwether County, GA', '      Newton County, GA', '      Paulding County, GA', '      Pickens County, GA', '      Pike County, GA', '      Rockdale County, GA', '      Spalding County, GA', '      Walton County, GA']","[83240, 107738, 24936, 119992, 258773, 292256, 760141, 148509, 26108, 146343, 114421, 244252, 1063937, 936250, 29792, 11923, 234561, 14219, 19077, 21167, 111744, 168667, 32591, 18962, 90896, 66703, 94593]"
12100,"Atlantic City-Hammonton, NJ",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,3260,6.3,24.739,1.22,,39.64,82460,1.6,30.41,34.13,39.9,45.77,49.39,63260,71000,82990,95190,102720,,,"Atlantic City-Hammonton, NJ",Metropolitan,['34001'],[None],"['      Atlantic County, NJ']",[263670]
12220,"Auburn-Opelika, AL",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,960,2.4,16.412,0.81,,28.76,59820,2.4,21.88,25.44,28.53,32.64,36.66,45510,52910,59350,67890,76250,,,"Auburn-Opelika, AL",Metropolitan,['01081'],[None],"['      Lee County, AL']",[164542]
12260,"Augusta-Richmond County, GA-SC",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,6750,7.7,30.059,1.48,,33.37,69400,2.7,23.57,27.74,33.25,38.61,44.89,49020,57690,69160,80300,93370,,,"Augusta-Richmond County, GA-SC",Metropolitan,"['13033', '13073', '13189', '13245', '45003', '45037']","[None, None, None, None, None, None]","['      Burke County, GA', '      Columbia County, GA', '      McDuffie County, GA', '      Richmond County, GA', '      Aiken County, SC', '      Edgefield County, SC']","[22383, 156714, 21312, 202518, 170872, 27260]"
12420,"Austin-Round Rock, TX",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,14860,4.3,13.849,0.68,,34.7,72170,0.9,26.1,29.84,34.65,38.93,45.23,54290,62060,72070,80970,94080,,,"Austin-Round Rock, TX",Metropolitan,"['48021', '48055', '48209', '48453', '48491']","[None, None, None, None, None]","['      Bastrop County, TX', '      Caldwell County, TX', '      Hays County, TX', '      Travis County, TX', '      Williamson County, TX']","[88723, 43664, 230191, 1273954, 590551]"
12540,"Bakersfield, CA",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,5290,8.6,16.693,0.82,,44.44,92440,1.9,31.26,37.17,44.51,52.26,59.81,65020,77320,92570,108710,124410,,,"Bakersfield, CA",Metropolitan,['06029'],[None],"['      Kern County, CA']",[900202]
12580,"Baltimore-Columbia-Towson, MD",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,32020,5,23.269,1.15,,37.83,78700,1,26.98,31.57,37.17,44.49,49.65,56120,65660,77320,92540,103260,,,"Baltimore-Columbia-Towson, MD",Metropolitan,"['24003', '24005', '24013', '24025', '24027', '24035', '24510']","[None, None, None, None, None, None, None]","['      Anne Arundel County, MD', '      Baltimore County, MD', '      Carroll County, MD', '      Harford County, MD', '      Howard County, MD', ""      Queen Anne's County, MD"", '      Baltimore city, MD']","[579234, 827370, 168447, 255441, 325690]"
12940,"Baton Rouge, LA",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,5640,3.1,14.279,0.7,,29.94,62280,1.1,21.62,25.25,29.51,34.83,38.51,44970,52530,61380,72440,80110,,,"Baton Rouge, LA",Metropolitan,"['22005', '22033', '22037', '22047', '22063', '22077', '22091', '22121', '22125']","[None, None, None, None, None, None, None, None, None]","['      Ascension Parish, LA', '      East Baton Rouge Parish, LA', '      East Feliciana Parish, LA', '      Iberville Parish, LA', '      Livingston Parish, LA', '      Pointe Coupee Parish, LA', '      St. Helena Parish, LA', '      West Baton Rouge Parish, LA', '      West Feliciana Parish, LA']",[]
12980,"Battle Creek, MI",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,1670,15.6,31.131,1.53,,33.81,70320,2.1,26.2,28.68,33.1,38.02,43.97,54490,59660,68850,79080,91460,,,"Battle Creek, MI",Metropolitan,['26025'],[None],"['      Calhoun County, MI']",[134159]
13020,"Bay City, MI",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,900,3.5,27.195,1.34,,*,*,*,*,*,*,*,*,*,*,*,*,*,,,"Bay City, MI",Metropolitan,['26017'],[None],"['      Bay County, MI']",[103126]
13140,"Beaumont-Port Arthur, TX",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,2690,11.2,16.744,0.82,,33.77,70230,2.7,25.65,28.78,33.73,38.03,43.96,53360,59860,70150,79100,91440,,,"Beaumont-Port Arthur, TX",Metropolitan,"['48199', '48245', '48361']","[None, None, None]","['      Hardin County, TX', '      Jefferson County, TX', '      Orange County, TX']","[57602, 251565, 83396]"
13220,"Beckley, WV",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,1130,8.2,25.84,1.27,,29.71,61790,1.5,19.67,25.27,29.34,34.4,38.72,40910,52560,61030,71550,80540,,,"Beckley, WV",Metropolitan,,,,
13380,"Bellingham, WA",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,**,**,**,**,,28.51,59300,4,22.29,25.54,28.14,30.75,35.69,46350,53110,58540,63960,74240,,,"Bellingham, WA",Metropolitan,['53073'],[None],"['      Whatcom County, WA']",[229247]
13460,"Bend-Redmond, OR",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,1950,2.9,23.161,1.14,,42.96,89370,2.7,31.7,36.43,42.97,49.01,57.06,65940,75770,89370,101950,118690,,,"Bend-Redmond, OR",Metropolitan,['41017'],[None],"['      Deschutes County, OR']",[197692]
13780,"Binghamton, NY",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,2540,2.3,25.195,1.24,,33.57,69820,1.7,25.2,27.88,32.56,38.23,45.33,52410,57980,67720,79520,94280,,,"Binghamton, NY",Metropolitan,"['36007', '36107']","[None, None]","['      Broome County, NY', '      Tioga County, NY']","[190488, 48203]"
13820,"Birmingham-Hoover, AL",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,16760,2.8,32.35,1.59,,30.2,62810,1.4,21.59,24.97,29.43,35.12,39.22,44900,51930,61220,73040,81570,,,"Birmingham-Hoover, AL",Metropolitan,"['01007', '01009', '01021', '01073', '01115', '01117', '01127']","[None, None, None, None, None, None, None]","['      Bibb County, AL', '      Blount County, AL', '      Chilton County, AL', '      Jefferson County, AL', '      St. Clair County, AL', '      Shelby County, AL', '      Walker County, AL']","[22394, 57826, 44428, 658573, 217702, 63521]"
13900,"Bismarck, ND",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,2120,7.1,30.063,1.48,,29.83,62050,2.3,21.88,26.21,29.76,34.68,38.35,45510,54520,61890,72130,79770,,,"Bismarck, ND",Metropolitan,"['38015', '38059']","[None, None]","['      Burleigh County, ND', '      Morton County, ND']","[95626, 31364]"
13980,"Blacksburg-Christiansburg-Radford, VA",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,1060,21.5,14.89,0.73,,30.94,64360,1.9,24.2,26.17,29.32,35.24,42.34,50330,54420,60980,73290,88070,,,"Blacksburg-Christiansburg-Radford, VA",Metropolitan,"['51071', '51121', '51155', '51750']","[None, None, None, None]","['      Giles County, VA', '      Montgomery County, VA', '      Pulaski County, VA', '      Radford city, VA']","[16720, 98535, 34027]"
14010,"Bloomington, IL",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,1390,5.1,15.689,0.77,,31.78,66110,3.1,24.32,26.93,30.69,36.21,40.47,50580,56020,63840,75320,84180,,,"Bloomington, IL",Metropolitan,,,,
14020,"Bloomington, IN",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,1320,5.4,18.645,0.92,,30.09,62580,2.7,24.63,26.49,29.44,33.9,37.75,51220,55100,61240,70510,78510,,,"Bloomington, IN",Metropolitan,"['18055', '18105', '18119']","[None, None, None]","['      Greene County, IN', '      Monroe County, IN', '      Owen County, IN']","[31922, 148431, 20799]"
14100,"Bloomsburg-Berwick, PA",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,2620,48.2,64.979,3.2,,33.03,68690,2.1,25.62,28.17,32.51,37.47,42.26,53290,58590,67620,77940,87900,,,"Bloomsburg-Berwick, PA",Metropolitan,,,,
14260,"Boise City, ID",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,6570,5.9,19.581,0.96,,34.39,71530,1.3,26.01,29.55,34.29,38.63,45.14,54100,61460,71320,80340,93900,,,"Boise City, ID",Metropolitan,"['16001', '16015', '16027', '16045', '16073']","[None, None, None, None, None]","['      Ada County, ID', '      Boise County, ID', '      Canyon County, ID', '      Gem County, ID', '      Owyhee County, ID']","[481587, 7831, 229849, 18112, 11823]"
14500,"Boulder, CO",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,3170,18.4,17.044,0.84,,38.48,80040,1.6,27.81,31.99,38.07,45.23,49.9,57840,66540,79180,94080,103800,,,"Boulder, CO",Metropolitan,['08013'],[None],"['      Boulder County, CO']",[326196]
14540,"Bowling Green, KY",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,1620,16.3,21.827,1.07,,28.48,59240,2.8,15.64,22.86,28.23,33.69,37.54,32530,47540,58710,70080,78090,,,"Bowling Green, KY",Metropolitan,"['21061', '21227']","[None, None]","['      Edmonson County, KY', '      Warren County, KY']","[12150, 132896]"
14740,"Bremerton-Silverdale, WA",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,1450,45.2,16.138,0.79,,40.59,84420,3.7,28.96,33.95,39.24,47.37,56.52,60230,70610,81630,98540,117570,,,"Bremerton-Silverdale, WA",Metropolitan,['53035'],[None],"['      Kitsap County, WA']",[271473]
15180,"Brownsville-Harlingen, TX",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,2160,8.8,15.552,0.77,,34.99,72780,2.1,25.2,28.16,33.53,40.33,48.6,52420,58580,69730,83890,101080,,,"Brownsville-Harlingen, TX",Metropolitan,['48061'],[None],"['      Cameron County, TX']",[423163]
15260,"Brunswick, GA",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,1260,2.6,29.473,1.45,,25.58,53200,3.4,19.8,22.03,25.63,28.97,32.57,41180,45830,53310,60260,67740,,,"Brunswick, GA",Metropolitan,"['13025', '13127', '13191']","[None, None, None]","['      Brantley County, GA', '      Glynn County, GA', '      McIntosh County, GA']","[19109, 85292, 14378]"
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,12280,5.1,22.288,1.1,,36.59,76120,1.6,26.09,31.68,36.73,43.05,47.95,54260,65890,76400,89530,99740,,,"Buffalo-Cheektowaga-Niagara Falls, NY",Metropolitan,"['36029', '36063']","[None, None]","['      Erie County, NY', '      Niagara County, NY']","[918702, 209281]"
15500,"Burlington, NC",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,880,4,14.103,0.69,,*,*,*,*,*,*,*,*,*,*,*,*,*,,,"Burlington, NC",Metropolitan,['37001'],[None],"['      Alamance County, NC']",[169509]
15940,"Canton-Massillon, OH",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,3710,29.2,21.919,1.08,,31.29,65090,2.3,25.14,27.03,30,35.36,39.2,52300,56220,62400,73550,81530,,,"Canton-Massillon, OH",Metropolitan,"['39019', '39151']","[None, None]","['      Carroll County, OH', '      Stark County, OH']","[26914, 370606]"
15980,"Cape Coral-Fort Myers, FL",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,5100,3.6,18.878,0.93,,33.57,69830,2.2,25.59,30.9,33.94,37.03,38.9,53230,64280,70600,77020,80910,,,"Cape Coral-Fort Myers, FL",Metropolitan,['12071'],[None],"['      Lee County, FL']",[770577]
16020,"Cape Girardeau, MO-IL",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,1580,45.1,36.397,1.79,,29.51,61390,2.1,20.54,23.19,27.95,33.86,39.11,42730,48230,58130,70420,81340,,,"Cape Girardeau, MO-IL",Metropolitan,,,,
16060,"Carbondale-Marion, IL",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,1720,18.1,32.704,1.61,,28.55,59390,5,16.66,23.06,28.34,34.66,39.17,34660,47950,58960,72090,81460,,,"Carbondale-Marion, IL",Metropolitan,,,,
16180,"Carson City, NV",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,780,6.4,26.382,1.3,,39.04,81200,1.7,31.3,34.01,38.45,44.8,48.62,65090,70730,79980,93190,101130,,,"Carson City, NV",Metropolitan,['32510'],[None],"['      Carson City, NV']",[55916]
16220,"Casper, WY",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,1070,7.4,27.367,1.35,,30.94,64360,1.9,21.96,25.86,30.34,35.77,39.35,45680,53800,63110,74400,81840,,,"Casper, WY",Metropolitan,['56025'],[None],"['      Natrona County, WY']",[79858]
16300,"Cedar Rapids, IA",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,2490,3.8,17.311,0.85,,28.76,59820,2.2,21.67,25.22,28.3,32.16,37.46,45070,52460,58870,66890,77920,,,"Cedar Rapids, IA",Metropolitan,"['19011', '19105', '19113']","[None, None, None]","['      Benton County, IA', '      Jones County, IA', '      Linn County, IA']","[25645, 20681, 226706]"
16540,"Chambersburg-Waynesboro, PA",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,1120,11.8,19.071,0.94,,36.61,76150,5.5,25.09,29.27,36.4,44.68,49.38,52180,60880,75720,92930,102710,,,"Chambersburg-Waynesboro, PA",Metropolitan,,,,
16580,"Champaign-Urbana, IL",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,2300,16.5,22.765,1.12,,29.55,61460,1.7,22.19,25.7,28.95,33.47,38.32,46160,53450,60210,69630,79700,,,"Champaign-Urbana, IL",Metropolitan,"['17019', '17053', '17147']","[None, None, None]","['      Champaign County, IL', '      Ford County, IL', '      Piatt County, IL']","[209689, 12961, 16344]"
16620,"Charleston, WV",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,3530,3.5,31.952,1.57,,30.71,63870,1.3,20.51,26.15,30.08,36.7,43.54,42660,54400,62560,76330,90570,,,"Charleston, WV",Metropolitan,"['54005', '54015', '54039', '54043', '54079']","[None, None, None, None, None]","['      Boone County, WV', '      Clay County, WV', '      Kanawha County, WV', '      Lincoln County, WV', '      Putnam County, WV']","[21457, 8508, 178124, 20409, 56450]"
16700,"Charleston-North Charleston, SC",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,10650,1.6,29.631,1.46,,33,68630,1.9,24.51,27.97,32.94,37.77,43.8,50980,58170,68510,78560,91100,,,"Charleston-North Charleston, SC",Metropolitan,"['45015', '45019', '45035']","[None, None, None]","['      Berkeley County, SC', '      Charleston County, SC', '      Dorchester County, SC']","[227907, 411406, 162809]"
16740,"Charlotte-Concord-Gastonia, NC-SC",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,23720,2.6,19.038,0.94,,31.71,65960,1.2,22.76,26.5,31.07,36.76,41.07,47330,55130,64630,76460,85420,,,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan,"['37007', '37025', '37071', '37119', '37179', '45091']","[None, None, None, None, None, None]","['      Anson County, NC', '      Cabarrus County, NC', '      Gaston County, NC', '      Mecklenburg County, NC', '      Union County, NC', '      York County, SC']","[24446, 216453, 224529, 1110356, 239859, 280979]"
16820,"Charlottesville, VA",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,3880,7.3,33.69,1.66,,35.85,74560,4.6,24.42,28.2,34.23,43.24,50.02,50790,58670,71200,89940,104040,,,"Charlottesville, VA",Metropolitan,"['51003', '51065', '51079', '51125', '51540']","[None, None, None, None, None]","['      Albemarle County, VA', '      Fluvanna County, VA', '      Greene County, VA', '      Nelson County, VA', '      Charlottesville city, VA']","[109330, 27270, 19819, 14930]"
16860,"Chattanooga, TN-GA",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,6260,13.9,24.875,1.23,,28.89,60090,1.6,21.25,24.45,28.26,33.11,37.75,44200,50860,58780,68870,78510,,,"Chattanooga, TN-GA",Metropolitan,"['13047', '13083', '13295', '47065', '47115', '47153']","[None, None, None, None, None, None]","['      Catoosa County, GA', '      Dade County, GA', '      Walker County, GA', '      Hamilton County, TN', '      Marion County, TN', '      Sequatchie County, TN']","[67580, 16116, 69761, 367804, 28907, 15026]"
16940,"Cheyenne, WY",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,920,3.1,19.828,0.98,,37.35,77680,2.7,26.36,29.74,35.5,41.16,47.61,54820,61860,73830,85610,99030,,,"Cheyenne, WY",Metropolitan,['56021'],[None],"['      Laramie County, WY']",[99500]
16980,"Chicago-Naperville-Elgin, IL-IN-WI",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,97030,1.9,20.748,1.02,,37.22,77430,0.9,26.3,30.64,36.39,43.83,49.9,54710,63730,75700,91160,103780,,,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,"['17097', '55059']","['29404', '29404']","['      Lake County, IL', '      Kenosha County, WI']","[696535, 169561]"
17020,"Chico, CA",4.0,0.0,Cross-industry,cross-industry,1235.0,29-1141,Registered Nurses,detailed,2250,23.3,28.397,1.4,,40.91,85080,5.8,30.93,34.12,39.48,46.48,55.33,64320,70970,82120,96680,115090,,,"Chico, CA",Metropolitan,['06007'],[None],"['      Butte County, CA']",[219186]
